County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Moore,1,7240,13461,7663,6051,16411,14986,2372,448,176,6143,27,,,,,,,,,,,,,
Morris,4/5N,2100,6345,3735,3102,10449,9830,2730,77,179,3692,0,,,,,,,,,,,,,
Motley,1,0,567,358,220,1051,994,368,22,50,319,0,,,,,,,,,,,,,
Nacogdoches,4/5N,33100,35740,21651,17874,54401,51773,9953,2530,755,19948,1728,,,,,,,,,,,,,
Navarro,44230,33100,30113,16851,14013,41283,38360,8651,1720,869,15775,1772,,,,,,,,,,,,,
Newton,4/5N,2900,4484,2465,2149,11888,11298,2878,55,113,4648,354,,,,,,,,,,,,,
Nolan,44230,9000,7756,4717,4254,12204,11321,2737,519,251,4249,719,,,,,,,,,,,,,
Nueces,11,289725,269307,152198,125471,303484,284366,54069,25582,4100,113767,9771,,,,,,,,,,,,,
Ochiltree,1,4700,5436,2975,2682,7814,7106,1148,200,114,2812,0,,,,,,,,,,,,,
Oldham,1,1600,992,553,471,1894,1728,316,18,0,654,227,,,,,,,,,,,,,
Orange,6/5S,5300,35841,20702,16562,69350,65087,13729,1456,548,26244,2692,,,,,,,,,,,,,
Palo Pinto,44230,6500,14393,8143,6946,24719,23207,5893,864,283,8796,816,,,,,,,,,,,,,
Panola,4/5N,3900,8429,5098,4172,19777,18462,4589,473,377,7117,661,,,,,,,,,,,,,
Parker,44230,73730,84931,47245,40971,119419,111686,22331,2890,1301,40567,3773,,,,,,,,,,,,,
Parmer,1,2600,5321,2972,2636,7816,7222,1366,161,174,2910,525,,,,,,,,,,,,,
Pecos,44449,6700,11330,6835,5202,13080,12317,2141,400,120,5047,517,,,,,,,,,,,,,
Polk,4/5N,10200,27702,15758,13258,44390,42276,9733,1184,574,17118,1025,,,,,,,,,,,,,
Potter,1,194195,65064,37586,29087,95273,88673,15203,10224,1770,35559,518,,,,,,,,,,,,,
Presidio,44449,5300,8863,5032,4029,5392,5069,1601,27,0,2039,0,,,,,,,,,,,,,
Rains,4/5N,2000,5806,3277,2763,10798,10277,3123,163,68,3649,0,,,,,,,,,,,,,
Randall,1,16170,83788,47040,39535,116059,108431,21424,2812,869,34803,519,,,,,,,,,,,,,
Reagan,44449,1400,1811,1066,955,3078,2841,427,52,42,1173,0,,,,,,,,,,,,,
Real,8,2000,2446,1313,1185,3070,2943,1053,25,86,1051,0,,,,,,,,,,,,,
Red River,4/5N,3500,5964,3419,3060,10450,9965,3044,420,252,3717,477,,,,,,,,,,,,,
Reeves,44449,31075,9689,5217,4576,13495,12781,1878,281,89,5277,0,,,,,,,,,,,,,
Refugio,11,2900,5103,2787,2434,5921,5583,1617,228,154,2031,313,,,,,,,,,,,,,
Roberts,1,0,348,191,173,730,672,193,16,0,227,0,,,,,,,,,,,,,
Robertson,7,4200,9517,5660,4720,14349,13474,3412,252,252,4991,690,,,,,,,,,,,,,
Rockwall,44230,59095,80093,46366,36898,86906,80325,13395,3750,1347,27575,3321,,,,,,,,,,,,,
Runnels,44230,7600,5997,3337,3003,8726,8184,2153,405,312,2979,430,,,,,,,,,,,,,
Rusk,4/5N,11670,24021,14264,11517,46536,43777,9197,1501,759,17428,1859,,,,,,,,,,,,,
Sabine,4/5N,3900,5597,3090,2794,9359,8871,3267,572,186,3077,0,,,,,,,,,,,,,
San Augustine,4/5N,3700,4869,2714,2311,7135,6811,2227,415,337,2590,0,,,,,,,,,,,,,
San Jacinto,4/5N,4500,12072,7068,5945,24882,23444,6488,132,190,9275,40,,,,,,,,,,,,,
San Patricio,11,20170,45391,26120,21374,54942,51116,10209,975,347,19063,2379,,,,,,,,,,,,,
San Saba,7,2100,2735,1624,1209,5279,5000,1465,33,72,1828,197,,,,,,,,,,,,,
Schleicher,44449,1800,1708,929,836,2399,2218,559,65,34,793,0,,,,,,,,,,,,,
Scurry,44230,7395,9200,5514,4470,14012,13000,2566,399,128,5165,0,,,,,,,,,,,,,
Shackelford,44230,1700,1753,963,834,2804,2612,691,52,0,937,119,,,,,,,,,,,,,
Shelby,4/5N,10050,9727,5763,4728,20862,19449,4532,540,369,7876,948,,,,,,,,,,,,,
Sherman,1,1800,1484,879,678,2478,2294,462,24,42,868,0,,,,,,,,,,,,,
Smith,4/5N,209370,140102,77453,65777,194878,182283,39337,19690,3030,62467,7172,,,,,,,,,,,,,
Somervell,44230,5100,5304,2995,2662,7823,7386,1770,457,220,2741,479,,,,,,,,,,,,,
Starr,11,43780,63932,37849,31785,49864,45765,7370,4479,1999,21117,3311,,,,,,,,,,,,,
Stephens,44230,3400,4168,2492,2115,8039,7542,1890,168,92,2928,22,,,,,,,,,,,,,
Sterling,44449,700,649,368,286,1042,975,186,10,44,375,0,,,,,,,,,,,,,
Stonewall,44230,1700,809,453,413,1164,1095,361,63,53,369,0,,,,,,,,,,,,,
Sutton,44449,2400,2436,1312,1156,3139,2992,723,91,0,1051,0,,,,,,,,,,,,,
Swisher,1,2600,3380,2046,1705,6211,5764,1305,114,61,2381,323,,,,,,,,,,,,,
Tarrant,44230,1449310,1528522,862752,708144,1738948,1617160,244511,86106,18386,590239,56668,,,,,,,,,,,,,
Taylor,44230,94735,82591,45799,39315,115070,107257,20131,11065,2465,36680,4185,,,,,,,,,,,,,
Terrell,44449,0,629,350,295,678,639,255,10,0,207,0,,,,,,,,,,,,,
Terry,1,8590,6934,3973,3413,10047,9307,1858,345,178,3985,416,,,,,,,,,,,,,
Throckmorton,44230,2100,1012,541,488,1314,1247,445,64,0,399,0,,,,,,,,,,,,,
Titus,4/5N,25200,15990,9323,7191,26439,24323,4845,1811,633,9797,1297,,,,,,,,,,,,,
Tom Green,44449,95140,74735,40660,35710,99574,93752,18625,6702,1601,33131,3815,,,,,,,,,,,,,
Travis,7,2165090,1230814,707626,570618,1092827,1032386,129553,51820,8264,311477,32884,,,,,,,,,,,,,
Trinity,4/5N,5050,8175,4690,3947,12733,12104,3956,347,241,4400,427,,,,,,,,,,,,,
Tyler,4/5N,9300,10000,5764,4581,18949,17963,4895,476,238,6926,722,,,,,,,,,,,,,
Upshur,4/5N,5300,17187,9759,8338,35243,33011,7825,714,567,12366,1404,,,,,,,,,,,,,
Upton,44449,3200,2223,1215,1017,2953,2730,537,170,30,1105,0,,,,,,,,,,,,,
Uvalde,8,31145,18475,10337,8776,21980,20379,4508,1498,515,8253,985,,,,,,,,,,,,,
Val Verde,8,43030,36067,22389,15964,39580,36546,7003,2610,490,14417,104,,,,,,,,,,,,,
