County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Leon,7,3800,11893,6979,5884,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,
Liberty,6/5S,42565,69857,38875,32788,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,
Limestone,7,8100,16026,9284,7926,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,
Lipscomb,1,1300,1762,963,875,2698,2520,617,24,61,919,190,,,,,,,,,,,,
Live Oak,11,3400,7696,4149,3597,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,
Llano,7,6800,20583,11400,10071,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,
Loving,2021-09-10 00:00:00,0,73,40,32,130,129,23,0,0,50,0,,,,,,,,,,,,
Lubbock,1,239890,273571,149770,130463,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,
Lynn,1,1800,4350,2384,2071,4851,4496,974,191,40,1838,328,,,,,,,,,,,,
Madison,7,4100,10584,6062,5091,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,
Marion,4/5N,1300,7283,4063,3589,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,
Martin,2021-09-10 00:00:00,2400,3384,1946,1533,4473,4136,659,165,0,1624,0,,,,,,,,,,,,
Mason,2021-09-10 00:00:00,2000,3886,2081,1877,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,
Matagorda,6/5S,16950,32201,17809,15054,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,
Maverick,8,46700,82846,50740,37345,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,
McCulloch,2021-09-10 00:00:00,4400,5581,3109,2675,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,
McLennan,7,153530,231567,129986,111337,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,
McMullen,11,1200,593,330,302,640,616,189,10,0,202,0,,,,,,,,,,,,
Medina,8,18100,50419,27696,24687,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,
Menard,2021-09-10 00:00:00,1400,1955,1078,981,1888,1790,699,9,40,550,0,,,,,,,,,,,,
Midland,2021-09-10 00:00:00,135835,143752,77014,65850,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,
Milam,7,11200,20783,11256,9898,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,
Mills,7,2600,3799,2080,1789,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,
Mitchell,2021-02-03 00:00:00,4000,5481,3072,2721,7286,6958,1259,265,96,2753,254,,,,,,,,,,,,
Montague,2021-02-03 00:00:00,4950,12988,7293,6151,16816,15872,4444,560,383,5668,702,,,,,,,,,,,,
Montgomery,6/5S,404890,618466,339323,290953,503062,467232,81457,20255,3836,157396,17330,,,,,,,,,,,,
Moore,1,7240,17221,9794,7631,16411,14986,2372,448,176,6143,27,,,,,,,,,,,,
Morris,4/5N,2100,9565,5423,4622,10449,9830,2730,77,179,3692,0,,,,,,,,,,,,
Motley,1,0,689,424,280,1051,994,368,22,50,319,0,,,,,,,,,,,,
Nacogdoches,4/5N,33100,51784,29945,24956,54401,51773,9953,2530,755,19948,1728,,,,,,,,,,,,
Navarro,2021-02-03 00:00:00,33100,42690,23426,20061,41283,38360,8651,1720,869,15775,1772,,,,,,,,,,,,
Newton,4/5N,2900,6219,3424,2979,11888,11298,2878,55,113,4648,354,,,,,,,,,,,,
Nolan,2021-02-03 00:00:00,9000,10744,6355,5647,12204,11321,2737,519,251,4249,719,,,,,,,,,,,,
Nueces,11,289725,389104,209196,180083,303484,284366,54069,25582,4100,113767,9771,,,,,,,,,,,,
Ochiltree,1,4700,6878,3786,3317,7814,7106,1148,200,114,2812,0,,,,,,,,,,,,
Oldham,1,1600,1357,746,637,1894,1728,316,18,0,654,227,,,,,,,,,,,,
Orange,6/5S,5300,56385,30989,26308,69350,65087,13729,1456,548,26244,2692,,,,,,,,,,,,
Palo Pinto,2021-02-03 00:00:00,6500,20387,11100,9687,24719,23207,5893,864,283,8796,816,,,,,,,,,,,,
Panola,4/5N,3900,14656,8346,7145,19777,18462,4589,473,377,7117,661,,,,,,,,,,,,
Parker,2021-02-03 00:00:00,73730,118801,64029,56897,119419,111686,22331,2890,1301,40567,3773,,,,,,,,,,,,
Parmer,1,2600,6819,3799,3348,7816,7222,1366,161,174,2910,525,,,,,,,,,,,,
Pecos,2021-09-10 00:00:00,6700,16982,9492,8093,13080,12317,2141,400,120,5047,517,,,,,,,,,,,,
Polk,4/5N,10200,39913,22058,18994,44390,42276,9733,1184,574,17118,1025,,,,,,,,,,,,
Potter,1,194195,94485,52557,43403,95273,88673,15203,10224,1770,35559,518,,,,,,,,,,,,
Presidio,2021-09-10 00:00:00,5300,11481,6277,5305,5392,5069,1601,27,0,2039,0,,,,,,,,,,,,
Rains,4/5N,2000,8330,4542,3948,10798,10277,3123,163,68,3649,0,,,,,,,,,,,,
Randall,1,16170,113688,62157,53803,116059,108431,21424,2812,869,34803,519,,,,,,,,,,,,
Reagan,2021-09-10 00:00:00,1400,2823,1621,1388,3078,2841,427,52,42,1173,0,,,,,,,,,,,,
Real,8,2000,3175,1689,1495,3070,2943,1053,25,86,1051,0,,,,,,,,,,,,
Red River,4/5N,3500,8636,4849,4203,10450,9965,3044,420,252,3717,477,,,,,,,,,,,,
Reeves,2021-09-10 00:00:00,31075,19136,12651,6440,13495,12781,1878,281,89,5277,0,,,,,,,,,,,,
Refugio,11,2900,7109,3783,3389,5921,5583,1617,228,154,2031,313,,,,,,,,,,,,
Roberts,1,0,488,265,242,730,672,193,16,0,227,0,,,,,,,,,,,,
Robertson,7,4200,13455,7723,6607,14349,13474,3412,252,252,4991,690,,,,,,,,,,,,
Rockwall,2021-02-03 00:00:00,59095,112870,61846,52770,86906,80325,13395,3750,1347,27575,3321,,,,,,,,,,,,
Runnels,2021-02-03 00:00:00,7600,8255,4540,4075,8726,8184,2153,405,312,2979,430,,,,,,,,,,,,
Rusk,4/5N,11670,37827,21298,18268,46536,43777,9197,1501,759,17428,1859,,,,,,,,,,,,
Sabine,4/5N,3900,7074,3940,3436,9359,8871,3267,572,186,3077,0,,,,,,,,,,,,
San Augustine,4/5N,3700,6624,3659,3107,7135,6811,2227,415,337,2590,0,,,,,,,,,,,,
San Jacinto,4/5N,4500,17716,9910,8562,24882,23444,6488,132,190,9275,40,,,,,,,,,,,,
San Patricio,11,20170,70549,38759,32870,54942,51116,10209,975,347,19063,2379,,,,,,,,,,,,
San Saba,7,2100,4036,2258,1916,5279,5000,1465,33,72,1828,197,,,,,,,,,,,,
Schleicher,2021-09-10 00:00:00,1800,2401,1284,1165,2399,2218,559,65,34,793,0,,,,,,,,,,,,
Scurry,2021-02-03 00:00:00,7395,14282,8239,6813,14012,13000,2566,399,128,5165,0,,,,,,,,,,,,
Shackelford,2021-02-03 00:00:00,1700,2204,1197,1041,2804,2612,691,52,0,937,119,,,,,,,,,,,,
Shelby,4/5N,10050,16766,9602,7815,20862,19449,4532,540,369,7876,948,,,,,,,,,,,,
Sherman,1,1800,1856,1099,832,2478,2294,462,24,42,868,0,,,,,,,,,,,,
Smith,4/5N,209370,200124,107590,93466,194878,182283,39337,19690,3030,62467,7172,,,,,,,,,,,,
Somervell,2021-02-03 00:00:00,5100,7064,3921,3463,7823,7386,1770,457,220,2741,479,,,,,,,,,,,,
Starr,11,43780,88009,49077,43634,49864,45765,7370,4479,1999,21117,3311,,,,,,,,,,,,
Stephens,2021-02-03 00:00:00,3400,5693,3329,2917,8039,7542,1890,168,92,2928,22,,,,,,,,,,,,
Sterling,2021-09-10 00:00:00,700,954,510,429,1042,975,186,10,44,375,0,,,,,,,,,,,,
Stonewall,2021-02-03 00:00:00,1700,1027,571,509,1164,1095,361,63,53,369,0,,,,,,,,,,,,
Sutton,2021-09-10 00:00:00,2400,3108,1668,1460,3139,2992,723,91,0,1051,0,,,,,,,,,,,,
Swisher,1,2600,4729,2871,2525,6211,5764,1305,114,61,2381,323,,,,,,,,,,,,
Tarrant,2021-02-03 00:00:00,1449310,2173758,1165132,1026696,1738948,1617160,244511,86106,18386,590239,56668,,,,,,,,,,,,
Taylor,2021-02-03 00:00:00,94735,115673,63218,54495,115070,107257,20131,11065,2465,36680,4185,,,,,,,,,,,,
Terrell,2021-09-10 00:00:00,0,780,439,356,678,639,255,10,0,207,0,,,,,,,,,,,,
Terry,1,8590,9384,5328,4585,10047,9307,1858,345,178,3985,416,,,,,,,,,,,,
Throckmorton,2021-02-03 00:00:00,2100,1191,652,555,1314,1247,445,64,0,399,0,,,,,,,,,,,,
Titus,4/5N,25200,24472,13822,11209,26439,24323,4845,1811,633,9797,1297,,,,,,,,,,,,
Tom Green,2021-09-10 00:00:00,95140,105598,55315,49258,99574,93752,18625,6702,1601,33131,3815,,,,,,,,,,,,
Travis,7,2165090,1638033,887232,779198,1092827,1032386,129553,51820,8264,311477,32884,,,,,,,,,,,,
Trinity,4/5N,5050,11361,6334,5403,12733,12104,3956,347,241,4400,427,,,,,,,,,,,,
Tyler,4/5N,9300,14609,7945,6966,18949,17963,4895,476,238,6926,722,,,,,,,,,,,,
Upshur,4/5N,5300,26108,14393,12363,35243,33011,7825,714,567,12366,1404,,,,,,,,,,,,
Upton,2021-09-10 00:00:00,3200,3032,1550,1315,2953,2730,537,170,30,1105,0,,,,,,,,,,,,
Uvalde,8,31145,26349,14423,12325,21980,20379,4508,1498,515,8253,985,,,,,,,,,,,,
